loops,functions,ifs,imports,try_blocks,lines,syntax_error,undefined_vars,risky_ops,has_bare_except,filename,label
0,0,0,0,0,1,0,0,1,0,buggy_1.py,1
0,1,1,0,0,9,0,0,1,0,buggy_10.py,1
0,0,0,1,0,7,0,0,0,0,buggy_11.py,1
1,0,0,0,0,2,0,0,0,0,buggy_12.py,1
0,1,0,0,0,8,0,1,0,0,buggy_13.py,1
0,0,0,0,0,5,0,0,1,0,buggy_14.py,1
0,0,0,0,0,5,0,0,0,0,buggy_15.py,1
0,0,0,0,0,4,0,0,2,0,buggy_16.py,1
1,1,0,0,0,8,0,0,0,0,buggy_17.py,1
0,0,0,0,0,4,0,0,0,0,buggy_18.py,1
1,1,0,0,0,8,0,1,0,0,buggy_19.py,1
0,0,0,0,0,2,1,0,0,0,buggy_2.py,1
0,0,0,0,0,3,0,0,1,0,buggy_20.py,1
0,0,0,0,0,2,0,1,0,0,buggy_3.py,1
0,0,0,0,0,2,0,0,1,0,buggy_4.py,1
0,1,0,0,0,4,0,0,0,0,buggy_5.py,1
0,0,0,0,0,3,0,0,0,0,buggy_6.py,1
1,0,0,0,0,4,0,0,1,0,buggy_7.py,1
0,1,0,0,0,6,0,1,0,0,buggy_8.py,1
1,0,0,0,0,6,0,1,0,0,buggy_9.py,1
0,1,0,0,0,4,0,0,0,0,good_1.py,0
0,1,1,0,0,9,0,0,0,0,good_10.py,0
0,0,0,0,1,6,0,0,0,0,good_11.py,0
0,0,0,1,0,7,0,0,0,0,good_12.py,0
1,1,0,0,0,11,0,0,0,0,good_13.py,0
0,0,0,0,0,7,0,0,0,0,good_14.py,0
0,0,0,0,0,7,0,0,0,0,good_15.py,0
0,1,0,0,0,6,0,0,1,0,good_16.py,0
0,2,0,0,0,11,0,0,0,0,good_17.py,0
0,1,2,0,0,10,0,0,0,0,good_18.py,0
1,0,0,0,0,9,0,0,1,0,good_19.py,0
1,0,0,0,0,4,0,0,0,0,good_2.py,0
0,1,1,0,0,8,0,0,1,0,good_20.py,0
1,1,0,0,0,9,0,0,0,0,good_3.py,0
0,0,1,0,0,6,0,0,0,0,good_4.py,0
0,1,0,0,0,5,0,0,1,0,good_5.py,0
0,1,0,0,0,6,0,0,0,0,good_6.py,0
1,0,0,0,0,4,0,0,0,0,good_7.py,0
0,1,1,0,0,9,0,0,1,0,good_8.py,0
1,0,0,0,0,10,0,0,1,0,good_9.py,0
